"MONTH","a","b","a.pvalue","b.pvalue","a.est","b.est","a.se","b.se"
1,1.282,0.028,"p<0.001","p<0.001",1.28,0.03,0.044,0.005
2,1.236,0.031,"p<0.001","p<0.001",1.235,0.03,0.033,0.005
3,1.101,0.038,"p<0.001","p<0.001",1.098,0.04,0.026,0.004
4,1.27,0.048,"p<0.001","p<0.001",1.275,0.05,0.057,0.005
5,1.756,0.057,"p<0.001","p<0.001",1.772,0.06,0.11,0.004
6,2.4,0.039,"p<0.001","p<0.001",2.402,0.04,0.315,0.008
7,2.005,0.045,"p<0.001","p<0.001",2.059,0.04,0.327,0.008
8,4.799,-0.014,"p<0.001","0.11",4.916,-0.01,0.956,0.011
9,1.821,0.037,"p<0.001","p<0.001",1.823,0.04,0.193,0.006
10,1.68,0.039,"p<0.001","p<0.001",1.684,0.04,0.091,0.005
11,1.674,0.053,"p<0.001","p<0.001",1.67,0.05,0.042,0.004
12,1.641,0.035,"p<0.001","p<0.001",1.637,0.03,0.037,0.005
