Year,Month,Day,TN_ppm,TP_ppm,TOC_ppm,DOC_ppm,Secchi_m
2006,1,16,0.232,0.006,11.125,11.039,1.1
2006,2,20,0.202,0.007,11.173,11.005,1
2006,3,21,0.172,0.008,11.22,10.97,2
2006,4,21,0.143,0.01,12.03,10.67,1.7
2006,5,17,0.175,0.007,10.13,10.35,1.9
2006,6,15,0.149,0.006,9.135,9.401,2.6
2006,7,17,0.154,0.007,8.249,9.107,2.8
2006,8,17,0.247,0.007,7.55,7.508,3.2
2006,9,15,0.351,0.022,13.62,13.59,0.8
2006,10,20,0.313,0.015,12.57,12.92,0.8
2006,11,15,0.392,0.011,11.618,11.75,1.25
2006,12,20,0.47,0.007,10.665,10.579,1.7
2007,1,22,0.432,0.006,10.35,10.264,1.5
2007,2,22,0.382,0.007,10.52,10.525,2
2007,3,19,0.294,0.005,9.952,9.927,2.1
2007,4,17,0.336,0.005,10.025,10.055,1.8
2007,5,15,0.272,0.006,10.145,10.01,1.7
2007,6,19,0.221,0.006,9.846,9.796,2.4
2007,7,16,0.222,0.005,9.437,9.934,3
2007,8,22,0.208,0.004,8.032,7.607,3
2007,9,17,0.268,0.006,7.971,7.965,3
2007,10,15,0.211,0.006,8.231,8.014,3
2007,11,16,0.332,0.005,8.153,7.907,2.8
2007,12,18,0.192,0.006,7.376,7.312,3.9
2008,1,16,0.245,0.008,7.636,7.452,3.8
2008,2,15,0.228,0.007,7.462,7.34,3.2
2008,3,10,0.212,0.008,7.355,7.264,3.7
2008,4,15,0.113,0.005,7.208,7.208,3
2008,5,15,0.154,0.006,7.29,7.29,3.4
2008,6,20,0.278,0.003,8.038,7.908,2.6
2008,7,18,0.275,0.004,7.46,7.852,3.5
2008,8,15,0.235,0.004,7.028,7.544,2.9
2008,9,15,0.258,0.004,8.128,8.252,1.9
2008,10,15,0.133,0.01,7.332,7.332,2.9
2008,11,17,0.118,0.006,6.981,6.981,3
2008,12,15,0.223,0.01,7.228,7.228,3
2009,1,19,0.466,0.003,6.506,6.41,3.6
2009,2,17,0.397,0.005,6.663,6.573,3.7
2009,3,16,0.254,0.005,6.49,6.322,3.1
2009,4,15,0.224,0.002,6.618,6.593,2.9
2009,5,15,0.23,0.003,6.618,6.464,3.8
2009,6,15,0.19,0.003,6.285,6.177,2.3
2009,7,15,0.244,0.003,6.135,6.104,4.4
2009,8,15,0.297,0.003,6.558,6.009,4.3
2009,9,15,0.269,0.002,6.014,5.745,3.9
2009,10,14,0.384,0.002,6.085,5.758,5.8
2009,11,13,0.552,0.001,6.099,6.208,4.6
2009,12,14,0.428,0.002,8.597,7.024,4.9
2010,1,15,0.326,0.002,6.319,5.931,5
2010,2,15,0.49,0.002,7.12,5.745,4.6
2010,3,14,0.29,0.001,6.341,5.767,4.2
2010,4,15,0.294,0.001,6.42,6.014,3.8
2010,5,17,0.854,0.002,6.11,5.906,4
2010,6,14,0.343,0.002,6.029,5.885,5.2
2010,7,14,0.251,0.001,4.532,4.446,5
2010,8,16,0.278,0.002,4.847,4.761,4.3
2010,9,15,0.35,0.002,6.343,6.257,2.7
2010,10,18,0.383,0.002,5.991,5.905,2.9
2010,11,12,1.544,0.001,5.502,5.416,3.9
2010,12,15,0.486,0.002,5.352,5.266,3
2011,1,18,0.354,0.003,5.702,5.616,3.7
2011,2,16,0.252,0.003,5.984,5.898,3.4
2011,3,15,0.228,0.003,5.858,5.772,3.7
2011,4,15,0.283,0.003,5.924,5.838,4.6
2011,5,17,0.207,0.003,5.614,5.528,3.7
2011,6,17,0.268,0.004,5.782,5.696,4.9
2011,7,14,0.203,0.004,5.442,5.356,4.7
2011,8,16,0.195,0.003,5.561,5.262,4.9
2011,9,16,0.175,0.002,5.549,4.686,6.4
2011,10,13,0.165,0.003,5.149,4.042,5.2
2011,11,16,0.194,0.003,5.036,3.981,4.1
2011,12,15,0.207,0.002,5.225,4.236,4.6
